id,series,stage,premier_stage,origin,origin_stage,od_gmbh,min,bep,max,h0,h1,h2,h3,h4,h5,p0,p1,p2,p3,p4,p5,ct1,ct2,ct3,ct4,ct5,ct6,npsh0,npsh1,npsh2,npsh3,kq1,kq2,kq3,kq4,kq5,kq6,kh1,kh2,kh3,kh4,kh5,kh6,kp1,kp2,kp3,kp4,kp5,kp6,pump_od,standard_burst,high_burst,shaft_od,standard_hp,high_hp,min_stages,max_stages,stage_increase,max_thrust,brand,num_stages,tdh0,bhp0,bpdmin,tdhmin,bhpmin,bpdbep,tdhbep,bhpbep,bpdmax,tdhmax,bhpmax,ch1,ch2,ch3,ch4,ch5,ch6,cp1,cp2,cp3,cp4,cp5,cp6,flowlength,headlength,thrustlength,hplength,efflength,flowtick,headtick,thrusttick,hptick,efftick,per_stage,kp,kh,kq,flowmin,flowminperc,flowmax,flowmaxperc,flow_points_0,flow_points_1,flow_points_2,flow_points_3,flow_points_4,flow_points_5,flow_points_6,flow_points_7,flow_points_8,flow_points_9,flow_points_10,flow_points_11,flow_points_12,flow_points_13,flow_points_14,flow_points_15,flow_points_16,flow_points_17
1,338,338-550,SD550,Centrilift,DC550 (?),338-550,340,550,700,22.6563,0.0221233,-0.000181857,0.000000498967,-0.000000000666745,0.000000000000298902,0.12247,0.000268233,-0.00000301768,0.0000000110001,-0.0000000000154386,7.29075E-15,2.948108,0.0007040306,-0.00001155138,0.0000000266746,-0.0000000000311845,1.148936E-14,10,0,0,0,0.9928843,-0.003123907,0.000001814223,0.00000005536733,-0.0000000001635621,0,0.9624601,-0.00244438,0.000008876695,-0.000000006211042,-0.0000000000334335,0,1.013124,0.007881823,-0.00004510469,0.0000001980617,0.00000000007624147,0,3.38,5000,0,0.625,94,150,17,286,1,2.948108,OIL DYNAMICS,100,22.6563,0.12247,440,19.6261779714048,0.1348849373568,550,16.859943094375,0.141495251953125,660,12.4111530519552,0.1310979023512,22.6563,0.0221233,-0.000181857,0.000000498967,-0.000000000666745,0.000000000000298902,0.12247,0.000268233,-0.00000301768,0.0000000110001,-0.0000000000154386,7.29075E-15,800,22,22,0.18,40,100,2,2,0.02,10,1,1,1,1,440,5,660,5,850,760,660,600,550,500,440,310,180,0,,,,,,,,
2,338,338-550C,SD550,Centrilift,DC550 (?),338-550C,340,550,700,22.6563,0.0221233,-0.000181857,0.000000498967,-0.000000000666745,0.000000000000298902,0.12247,0.000268233,-0.00000301768,0.0000000110001,-0.0000000000154386,7.29075E-15,24.72941,-0.01950562,-0.000004670413,0.00000001226818,-0.00000000001739079,-6.221723E-15,10,0,0,0,0.9928843,-0.003123907,0.000001814223,0.00000005536733,-0.0000000001635621,0,0.9624601,-0.00244438,0.000008876695,-0.000000006211042,-0.0000000000334335,0,1.013124,0.007881823,-0.00004510469,0.0000001980617,0.00000000007624147,0,3.38,5000,0,0.625,94,150,16,285,1,24.72941,OIL DYNAMICS,100,22.6563,0.12247,440,19.6261779714048,0.1348849373568,550,16.859943094375,0.141495251953125,660,12.4111530519552,0.1310979023512,22.6563,0.0221233,-0.000181857,0.000000498967,-0.000000000666745,0.000000000000298902,0.12247,0.000268233,-0.00000301768,0.0000000110001,-0.0000000000154386,7.29075E-15,800,22,22,0.18,40,100,2,2,0.02,10,1,1,1,1,440,5,660,5,850,760,660,600,550,500,440,310,180,0,,,,,,,,
3,338,338-660,SD500,(?),(?),338-660,440,660,820,26.35972,-0.001385491,-0.00006714438,0.0000001800666,-0.0000000002111101,7.688405E-14,0.1031126,0.00000199007,0.0000004176752,-0.0000000007216133,4.109334E-13,-6.730851E-17,2.948108,0.0007040306,-0.00001155138,0.0000000266746,-0.0000000000311845,1.148936E-14,10,0,0,0,0.9928843,-0.003123907,0.000001814223,0.00000005536733,-0.0000000001635621,0,0.9624601,-0.00244438,0.000008876695,-0.000000006211042,-0.0000000000334335,0,1.013124,0.007881823,-0.00004510469,0.0000001980617,0.00000000007624147,0,3.38,5000,0,0.6875,125,200,10,176,1,2.948108,OIL DYNAMICS,100,26.35972,0.1031126,528,20.1622974281366,0.14356037578373,660,17.5364871402453,0.148448689837522,792,13.4962344474436,0.148900053535046,26.35972,-0.001385491,-0.00006714438,0.0000001800666,-0.0000000002111101,7.688405E-14,0.1031126,0.00000199007,0.0000004176752,-0.0000000007216133,4.109334E-13,-6.730851E-17,1000,26,26,0.2,50,100,2,2,0.02,5,1,1,1,1,528,5,792,5,1060,920,792,730,660,600,528,360,180,0,,,,,,,,
4,338,338-660C,SD500,(?),(?),338-660C,440,660,820,26.35972,-0.001385491,-0.00006714438,0.0000001800666,-0.0000000002111101,7.688405E-14,0.1031126,0.00000199007,0.0000004176752,-0.0000000007216133,4.109334E-13,-6.730851E-17,24.72941,-0.01950562,-0.000004670413,0.00000001226818,-0.00000000001739079,-6.221723E-15,10,0,0,0,0.9928843,-0.003123907,0.000001814223,0.00000005536733,-0.0000000001635621,0,0.9624601,-0.00244438,0.000008876695,-0.000000006211042,-0.0000000000334335,0,1.013124,0.007881823,-0.00004510469,0.0000001980617,0.00000000007624147,0,3.38,5000,0,0.6875,125,200,9,175,1,24.72941,OIL DYNAMICS,100,26.35972,0.1031126,528,20.1622974281366,0.14356037578373,660,17.5364871402453,0.148448689837522,792,13.4962344474436,0.148900053535046,26.35972,-0.001385491,-0.00006714438,0.0000001800666,-0.0000000002111101,7.688405E-14,0.1031126,0.00000199007,0.0000004176752,-0.0000000007216133,4.109334E-13,-6.730851E-17,1000,26,26,0.2,50,100,2,2,0.02,5,1,1,1,1,528,5,792,5,1060,920,792,730,660,600,528,360,180,0,,,,,,,,
5,338,338-950,SD900,(?),(?),338-950,660,950,1200,21.71344,-0.007173283,0.00000419037,-0.000000005981049,8.639426E-15,-3.026608E-18,0.1194124,0.0001547737,-0.0000001031064,3.409982E-13,9.395525E-15,-2.699066E-18,2.722664,-0.0004975159,0.0000003977343,-0.000000000765602,6.498767E-14,2.935986E-18,12,0,0,0,1.002581,-0.002715141,0.00001777814,-0.0000001283844,0.0000000002993408,0,0.9611989,-0.001398988,-0.000002654408,0.00000006024653,-0.0000000001949641,0,1.162899,0.007608513,-0.000036274423,0.000000007238469,0.0000000007230808,0,3.38,5000,0,0.625,94,150,17,286,1,2.722664,OIL DYNAMICS,100,21.71344,0.1194124,760,16.0586805625448,0.180086041939017,950,13.5573231235227,0.179250480346402,1140,10.1292791434849,0.173034390769245,21.71344,-0.007173283,0.00000419037,-0.000000005981049,8.639426E-15,-3.026608E-18,0.1194124,0.0001547737,-0.0000001031064,3.409982E-13,9.395525E-15,-2.699066E-18,1400,20,20,0.21,50,200,2,2,0.03,5,1,1,1,1,760,5,1140,5,1500,1300,1140,1050,950,860,760,510,250,0,,,,,,,,
6,338,338-950C,SD900,(?),(?),338-950C,660,950,1200,21.71344,-0.007173283,0.00000419037,-0.000000005981049,8.639426E-15,-3.026608E-18,0.1194124,0.0001547737,-0.0000001031064,3.409982E-13,9.395525E-15,-2.699066E-18,28.2454,-0.007217126,-0.00001822051,0.00000002384504,-0.00000000001190246,1.2933E-15,12,0,0,0,1.002581,-0.002715141,0.00001777814,-0.0000001283844,0.0000000002993408,0,0.9611989,-0.001398988,-0.000002654408,0.00000006024653,-0.0000000001949641,0,1.162899,0.007608513,-0.000036274423,0.000000007238469,0.0000000007230808,0,3.38,5000,0,0.625,94,150,16,285,1,28.2454,OIL DYNAMICS,100,21.71344,0.1194124,760,16.0586805625448,0.180086041939017,950,13.5573231235227,0.179250480346402,1140,10.1292791434849,0.173034390769245,21.71344,-0.007173283,0.00000419037,-0.000000005981049,8.639426E-15,-3.026608E-18,0.1194124,0.0001547737,-0.0000001031064,3.409982E-13,9.395525E-15,-2.699066E-18,1400,20,20,0.21,50,200,2,2,0.03,5,1,1,1,1,760,5,1140,5,1500,1300,1140,1050,950,860,760,510,250,0,,,,,,,,
7,338,338-1150,SD1200,Centrilift,DC1250 (?),338-1150,750,1150,1450,22.18869,-0.0001800564,-0.00001233471,0.0000000167439,-0.00000000001178053,2.506787E-15,0.1320477,0.0001356538,0.00000002304462,-0.0000000001045641,5.758105E-14,-1.048523E-17,2.922099,-0.001043622,0.000003633048,-0.000000005105884,0.000000000002399388,-3.935394E-16,12,0,0,0,0.9999362,-0.00205046,0.000002482651,0.000000006489826,-0.00000000002486688,0,0.9659757,-0.001703528,0.00000939973,-0.00000005237065,0.0000000001158896,0,1.128533,0.007499857,-0.00004622866,0.0000001981554,-0.0000000002601299,0,3.38,5000,0,0.625,94,150,14,236,1,2.922099,OIL DYNAMICS,100,22.18869,0.1320477,920,17.8339018084292,0.229271389957106,1150,15.5721735291691,0.239117227970972,1380,12.2754724225893,0.244688064389207,22.18869,-0.0001800564,-0.00001233471,0.0000000167439,-0.00000000001178053,2.506787E-15,0.1320477,0.0001356538,0.00000002304462,-0.0000000001045641,5.758105E-14,-1.048523E-17,1800,22,22,0.25,55,200,2,2,0.05,5,1,1,1,1,920,4,1380,4,1900,1650,1380,1260,1150,1040,920,600,300,0,,,,,,,,
8,338,338-1150C,SD1200,Centrilift,DC1250 (?),338-1150C,750,1150,1450,22.18869,-0.0001800564,-0.00001233471,0.0000000167439,-0.00000000001178053,2.506787E-15,0.1320477,0.0001356538,0.00000002304462,-0.0000000001045641,5.758105E-14,-1.048523E-17,28.2454,-0.007217126,-0.00001822051,0.00000002384504,-0.00000000001190246,1.2933E-15,12,0,0,0,0.9999362,-0.00205046,0.000002482651,0.000000006489826,-0.00000000002486688,0,0.9659757,-0.001703528,0.00000939973,-0.00000005237065,0.0000000001158896,0,1.128533,0.007499857,-0.00004622866,0.0000001981554,-0.0000000002601299,0,3.38,5000,0,0.625,94,150,13,235,1,28.2454,OIL DYNAMICS,100,22.18869,0.1320477,920,17.8339018084292,0.229271389957106,1150,15.5721735291691,0.239117227970972,1380,12.2754724225893,0.244688064389207,22.18869,-0.0001800564,-0.00001233471,0.0000000167439,-0.00000000001178053,2.506787E-15,0.1320477,0.0001356538,0.00000002304462,-0.0000000001045641,5.758105E-14,-1.048523E-17,1800,22,22,0.25,55,200,2,2,0.05,5,1,1,1,1,920,4,1380,4,1900,1650,1380,1260,1150,1040,920,600,300,0,,,,,,,,
9,338,338-1450,SD1500,GE / WG,TA1500,338-1450,800,1450,2050,20.7863,-0.00492468,0.000000945505,-0.000000000130207,-0.000000000000321785,5.35321E-17,0.146044,0.000220628,-0.000000224435,0.00000000021105,-8.97421E-14,1.31194E-17,2.922099,-0.001043622,0.000003633048,-0.000000005105884,0.000000000002399388,-3.935394E-16,12,0,0,0,0.9999362,-0.00205046,0.000002482651,0.000000006489826,-0.00000000002486688,0,0.9659757,-0.001703528,0.00000939973,-0.00000005237065,0.0000000001158896,0,1.128533,0.007499857,-0.00004622866,0.0000001981554,-0.0000000002601299,0,3.38,5000,0,0.6875,125,200,14,186,1,2.922099,OIL DYNAMICS,100,20.7863,0.146044,1160,15.6725022557192,0.294464488633661,1450,14.1571598682759,0.324878669871437,1740,12.2982450122985,0.348892695162914,20.7863,-0.00492468,0.000000945505,-0.000000000130207,-0.000000000000321785,5.35321E-17,0.146044,0.000220628,-0.000000224435,0.00000000021105,-8.97421E-14,1.31194E-17,2800,20,18,0.35,45,200,2,2,0.05,5,1,1,1,1,1160,4,1740,4,2800,2400,2000,1740,1600,1450,1320,1160,800,400,0,,,,,,,
10,338,338-1450C,SD1500,GE / WG,TA1500,338-1450C,800,1450,2050,20.7863,-0.00492468,0.000000945505,-0.000000000130207,-0.000000000000321785,5.35321E-17,0.146044,0.000220628,-0.000000224435,0.00000000021105,-8.97421E-14,1.31194E-17,28.2454,-0.007217126,-0.00001822051,0.00000002384504,-0.00000000001190246,1.2933E-15,12,0,0,0,0.9999362,-0.00205046,0.000002482651,0.000000006489826,-0.00000000002486688,0,0.9659757,-0.001703528,0.00000939973,-0.00000005237065,0.0000000001158896,0,1.128533,0.007499857,-0.00004622866,0.0000001981554,-0.0000000002601299,0,3.38,5000,0,0.6875,125,200,13,185,1,28.2454,OIL DYNAMICS,100,20.7863,0.146044,1160,15.6725022557192,0.294464488633661,1450,14.1571598682759,0.324878669871437,1740,12.2982450122985,0.348892695162914,20.7863,-0.00492468,0.000000945505,-0.000000000130207,-0.000000000000321785,5.35321E-17,0.146044,0.000220628,-0.000000224435,0.00000000021105,-8.97421E-14,1.31194E-17,2800,20,18,0.35,45,200,2,2,0.05,5,1,1,1,1,1160,5,1740,5,2800,2400,2000,1740,1600,1450,1320,1160,800,400,0,,,,,,,
11,338,338-1800,SD2000,(?),(?),338-1800,1200,1800,2250,20.22138,0.002239102,-0.00001302085,0.00000000929913,-0.000000000002859521,2.774046E-16,0.255014,-0.00003315857,0.0000001282311,-0.0000000001371553,6.123877E-14,-9.859684E-18,2.784232,-0.00005518911,-0.00000137393,0.000000001263215,-4.501647E-13,5.24507E-17,14,0,0,0,1.003575,-0.001175275,-0.00001249894,0.0000001223488,-0.0000000003043964,0,0.9635602,-0.0010835,-0.000004078318,0.00000006140186,-0.0000000001672314,0,1.090306,0.006479414,-0.00005119678,0.0000002988833,-0.000000000612545,0,3.38,5000,0,0.6875,125,200,7,114,1,2.784232,OIL DYNAMICS,100,20.22138,0.255014,1440,13.6349049862051,0.265889074164185,1800,11.520376662528,0.26746230658688,2160,8.81916749950058,0.268904281968444,20.22138,0.002239102,-0.00001302085,0.00000000929913,-0.000000000002859521,2.774046E-16,0.255014,-0.00003315857,0.0000001282311,-0.0000000001371553,6.123877E-14,-9.859684E-18,2700,20,20,0.4,55,300,2,2,0.05,5,1,1,1,1,1440,4,2160,4,2800,2500,2300,2160,1980,1800,1620,1440,1140,800,400,0,,,,,,
12,338,338-1800C,SD2000,(?),(?),338-1800C,1200,1800,2250,20.22138,0.002239102,-0.00001302085,0.00000000929913,-0.000000000002859521,2.774046E-16,0.255014,-0.00003315857,0.0000001282311,-0.0000000001371553,6.123877E-14,-9.859684E-18,25.31586,-0.005536482,-0.00001001648,0.00000001090944,-0.000000000004100553,4.645703E-16,14,0,0,0,1.003575,-0.001175275,-0.00001249894,0.0000001223488,-0.0000000003043964,0,0.9635602,-0.0010835,-0.000004078318,0.00000006140186,-0.0000000001672314,0,1.090306,0.006479414,-0.00005119678,0.0000002988833,-0.000000000612545,0,3.38,5000,0,0.6875,125,200,6,113,1,25.31586,OIL DYNAMICS,100,20.22138,0.255014,1440,13.6349049862051,0.265889074164185,1800,11.520376662528,0.26746230658688,2160,8.81916749950058,0.268904281968444,20.22138,0.002239102,-0.00001302085,0.00000000929913,-0.000000000002859521,2.774046E-16,0.255014,-0.00003315857,0.0000001282311,-0.0000000001371553,6.123877E-14,-9.859684E-18,2700,20,20,0.4,55,300,2,2,0.05,5,1,1,1,1,1440,4,2160,4,2800,2500,2300,2160,1980,1800,1620,1440,1140,800,400,0,,,,,,
13,400,400-KOMP,(?),Centrilift,FCNPSH,400-KOMP,250,3400,4750,29.01542,-0.00222,-0.00000212208,0.000000000715024,-7.64174E-14,-7.75867E-19,0.69949,-0.0000169808,-0.0000000540686,0.0000000000280139,-4.34252E-15,1.5378E-19,48.8564,0.001176494,-0.00001396492,0.000000008310021,-0.000000000001753947,1.19093E-16,50,0,0,0,0.999736,0.0006458556,-0.0000490249,0.0000004393245,-0.000000001116371,0,0.9862497,-0.001668562,0.00002019121,-0.0000001426345,0.0000000003297334,0,1.091453,0.006537231,-0.0000649944,0.0000004074133,-0.0000000008990882,0,4,5000,0,0.6875,125,200,2,20,2,48.8564,OIL DYNAMICS,100,29.01542,0.69949,2720,17.3675939106137,0.602224577602462,3400,14.4750277702339,0.6073446039552,4080,11.1426941023412,0.603326252933423,29.01542,-0.00222,-0.00000212208,0.000000000715024,-7.64174E-14,-7.75867E-19,0.69949,-0.0000169808,-0.0000000540686,0.0000000000280139,-4.34252E-15,1.5378E-19,5000,27,20,1,60,500,3,2,0.1,5,1,1,1,1,2720,4,4080,4,5250,4800,4400,4080,3740,3400,3060,2720,2200,1700,1200,600,0,,,,,
14,400,400-350,SF320,(?),(?),400-350,240,370,490,24.70855,-0.003656749,0.0000505619,-0.0000003247096,0.0000000003162026,-6.877844E-14,0.07050647,0.00000955138,0.0000008323398,-0.000000003129996,0.00000000000488528,-2.870665E-15,5.296308,0.0002689937,-0.000004562228,-0.000000001833382,-0.00000000001286857,1.083543E-14,10,0,0,0,0.9928843,-0.003123907,0.000001814223,0.00000005536733,-0.0000000001635621,0,0.9624601,-0.00244438,0.000008876695,-0.000000006211042,-0.0000000000334335,0,1.013124,0.007881823,-0.00004510469,0.0000001980617,0.00000000007624147,0,4,5000,0,0.625,94,150,16,261,1,5.296308,OIL DYNAMICS,100,24.70855,0.07050647,296,21.9061224919434,0.0960648511325799,370,19.2791705027973,0.101095797300659,444,15.7329018838526,0.105189312767379,24.70855,-0.003656749,0.0000505619,-0.0000003247096,0.0000000003162026,-6.877844E-14,0.07050647,0.00000955138,0.0000008323398,-0.000000003129996,0.00000000000488528,-2.870665E-15,600,24,20,0.1,50,100,2,2,0.01,5,1,1,1,1,296,4,444,4,700,600,520,444,370,296,200,100,0,,,,,,,,,
15,400,400-350C,SF320,(?),(?),400-350C,240,370,490,24.70855,-0.003656749,0.0000505619,-0.0000003247096,0.0000000003162026,-6.877844E-14,0.07050647,0.00000955138,0.0000008323398,-0.000000003129996,0.00000000000488528,-2.870665E-15,21.94846,-0.02560091,0.00003890942,-0.00000009366781,0.00000000005665506,-6.506814E-15,10,0,0,0,0.9928843,-0.003123907,0.000001814223,0.00000005536733,-0.0000000001635621,0,0.9624601,-0.00244438,0.000008876695,-0.000000006211042,-0.0000000000334335,0,1.013124,0.007881823,-0.00004510469,0.0000001980617,0.00000000007624147,0,4,5000,0,0.625,94,150,15,260,1,21.94846,OIL DYNAMICS,100,24.70855,0.07050647,296,21.9061224919434,0.0960648511325799,370,19.2791705027973,0.101095797300659,444,15.7329018838526,0.105189312767379,24.70855,-0.003656749,0.0000505619,-0.0000003247096,0.0000000003162026,-6.877844E-14,0.07050647,0.00000955138,0.0000008323398,-0.000000003129996,0.00000000000488528,-2.870665E-15,600,24,20,0.1,50,100,2,2,0.01,5,1,1,1,1,296,4,444,4,700,600,520,444,370,296,200,100,0,,,,,,,,,
16,400,400-550,SF500,Borets,400-550,400-550,370,550,700,34.0369,0.00747503,-0.0000358119,0.0000001129,-0.000000000252414,0.000000000000133919,0.134078,0.000141456,0.0000000939355,-0.000000000110247,-4.65636E-14,9.3745E-17,5.296308,0.0002689937,-0.000004562228,-0.000000001833382,-0.00000000001286857,1.083543E-14,10,0,0,0,0.9928843,-0.003123907,0.000001814223,0.00000005536733,-0.0000000001635621,0,0.9624601,-0.00244438,0.000008876695,-0.000000006211042,-0.0000000000334335,0,1.013124,0.007881823,-0.00004510469,0.0000001980617,0.00000000007624147,0,4,5000,0,0.6875,125,200,17,277,1,5.296308,OIL DYNAMICS,100,34.0369,0.134078,440,32.7578255027456,0.204914031064832,550,29.7412796840625,0.222409123075937,660,24.7052770574944,0.239566363849616,34.0369,0.00747503,-0.0000358119,0.0000001129,-0.000000000252414,0.000000000000133919,0.134078,0.000141456,0.0000000939355,-0.000000000110247,-4.65636E-14,9.3745E-17,900,38,20,0.24,55,100,2,2,0.02,5,1,1,1,1,440,4,660,4,1000,880,770,660,550,440,340,220,100,0,,,,,,,,
17,400,400-550C,SF500,Borets,400-550,400-550C,370,550,700,34.0369,0.00747503,-0.0000358119,0.0000001129,-0.000000000252414,0.000000000000133919,0.134078,0.000141456,0.0000000939355,-0.000000000110247,-4.65636E-14,9.3745E-17,21.94846,-0.02560091,0.00003890942,-0.00000009366781,0.00000000005665506,-6.506814E-15,10,0,0,0,0.9928843,-0.003123907,0.000001814223,0.00000005536733,-0.0000000001635621,0,0.9624601,-0.00244438,0.000008876695,-0.000000006211042,-0.0000000000334335,0,1.013124,0.007881823,-0.00004510469,0.0000001980617,0.00000000007624147,0,4,5000,0,0.6875,125,200,16,276,1,21.94846,OIL DYNAMICS,100,34.0369,0.134078,440,32.7578255027456,0.204914031064832,550,29.7412796840625,0.222409123075937,660,24.7052770574944,0.239566363849616,34.0369,0.00747503,-0.0000358119,0.0000001129,-0.000000000252414,0.000000000000133919,0.134078,0.000141456,0.0000000939355,-0.000000000110247,-4.65636E-14,9.3745E-17,900,38,20,0.24,55,100,2,2,0.02,5,1,1,1,1,440,4,660,4,1000,880,770,660,550,440,340,220,100,0,,,,,,,,
